,Date,Clinic #0,Clinic #1,Clinic #2,Clinic #3,Clinic #4,Clinic #5,Clinic #6,Clinic #7,Clinic #8,Clinic #9,Clinic #10,Clinic #11,Clinic #12,Clinic #13,Clinic #14,Clinic #15,Clinic #16,Clinic #17,Clinic #18,Clinic #19,Clinic #20,Clinic #21,Clinic #22,Clinic #23,Clinic #24,Clinic #25,Clinic #26,Clinic #27,Clinic #28,Clinic #29,Clinic #30,Clinic #31,Clinic #32,Clinic #33,Clinic #34,Clinic #35,Clinic #36,Clinic #37,Clinic #38,Clinic #39,Clinic #40,Clinic #41,Clinic #42,Clinic #43,Clinic #44,Clinic #45,Clinic #46,Clinic #47,Clinic #48,Clinic #49,Clinic #50,Clinic #51,Clinic #52,Clinic #53,Clinic #54,Clinic #55,Clinic #56,Clinic #57
21,2024-08-26,25.0,67.0,80.0,39.0,42.0,42.0,24.0,47.0,41.0,10.0,25.0,81.0,24.0,23.0,47.0,18.0,46.0,35.0,96.0,30.0,50.0,37.0,24.0,26.0,109.0,25.0,21.0,39.0,27.0,34.0,62.0,127.0,18.0,22.0,69.0,22.0,17.0,37.0,92.0,16.0,66.0,15.0,14.0,97.0,101.0,26.0,584.0,23.0,40.0,258.0,37.0,14.0,16.0,30.0,260.0,461.0,14.0,1193.0
22,2024-08-27,38.0,46.0,92.0,67.0,30.0,19.0,25.0,32.0,39.0,17.0,12.0,58.0,14.0,17.0,58.0,19.0,44.0,31.0,100.0,30.0,43.0,56.0,30.0,14.0,150.0,25.0,20.0,17.0,26.0,9.0,77.0,118.0,29.0,10.0,75.0,7.0,21.0,25.0,66.0,20.0,62.0,18.0,15.0,71.0,103.0,17.0,659.0,6.0,27.0,224.0,49.0,18.0,18.0,18.0,235.0,455.0,15.0,1329.0
23,2024-08-28,32.0,29.0,89.0,33.0,35.0,40.0,18.0,78.0,39.0,13.0,15.0,58.0,22.0,14.0,49.0,16.0,16.0,30.0,82.0,35.0,32.0,37.0,15.0,23.0,116.0,26.0,11.0,26.0,31.0,30.0,57.0,89.0,16.0,23.0,82.0,9.0,15.0,0.0,70.0,12.0,79.0,9.0,10.0,101.0,86.0,9.0,586.0,17.0,45.0,219.0,33.0,10.0,21.0,29.0,225.0,478.0,16.0,1138.0
24,2024-08-29,29.0,32.0,65.0,14.0,12.0,27.0,20.0,41.0,35.0,16.0,17.0,75.0,21.0,14.0,34.0,26.0,29.0,28.0,94.0,12.0,22.0,30.0,24.0,21.0,121.0,28.0,9.0,32.0,17.0,6.0,41.0,100.0,9.0,14.0,66.0,11.0,5.0,14.0,72.0,14.0,57.0,12.0,12.0,55.0,77.0,17.0,534.0,12.0,40.0,186.0,39.0,13.0,21.0,24.0,231.0,372.0,17.0,1113.0
25,2024-08-30,37.0,41.0,62.0,22.0,37.0,16.0,21.0,43.0,27.0,18.0,7.0,59.0,28.0,16.0,40.0,26.0,40.0,22.0,78.0,33.0,56.0,32.0,14.0,6.0,83.0,23.0,9.0,19.0,16.0,12.0,60.0,78.0,14.0,16.0,50.0,10.0,15.0,24.0,64.0,7.0,51.0,16.0,14.0,54.0,70.0,12.0,480.0,20.0,50.0,172.0,54.0,13.0,19.0,17.0,209.0,365.0,11.0,869.0
26,2024-08-31,5.0,6.0,13.0,0.0,0.0,0.0,6.0,2.0,4.0,4.0,2.0,5.0,4.0,1.0,14.0,7.0,2.0,5.0,45.0,14.0,15.0,9.0,8.0,8.0,39.0,1.0,0.0,14.0,6.0,7.0,8.0,26.0,0.0,4.0,14.0,2.0,5.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,28.0,0.0,25.0,0.0,9.0,17.0,12.0,4.0,4.0,10.0,39.0,53.0,0.0,192.0
27,2024-09-01,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,13.0,5.0,4.0,5.0,39.0,10.0,0.0,5.0,5.0,7.0,48.0,0.0,2.0,15.0,4.0,5.0,0.0,0.0,0.0,6.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,5.0,15.0,6.0,4.0,2.0,4.0,11.0,0.0,0.0,108.0
28,2024-09-02,42.0,64.0,99.0,36.0,44.0,18.0,32.0,35.0,43.0,16.0,20.0,75.0,18.0,35.0,61.0,8.0,46.0,41.0,102.0,24.0,47.0,50.0,22.0,25.0,119.0,41.0,20.0,32.0,43.0,41.0,80.0,99.0,17.0,15.0,111.0,12.0,26.0,34.0,103.0,13.0,53.0,12.0,21.0,103.0,101.0,18.0,621.0,16.0,38.0,249.0,51.0,7.0,15.0,38.0,244.0,462.0,11.0,1347.0
29,2024-09-03,41.0,44.0,102.0,63.0,27.0,28.0,24.0,11.0,37.0,13.0,10.0,64.0,12.0,20.0,51.0,30.0,36.0,38.0,105.0,27.0,34.0,55.0,32.0,16.0,127.0,20.0,14.0,41.0,28.0,8.0,94.0,121.0,20.0,11.0,89.0,14.0,17.0,32.0,83.0,23.0,53.0,13.0,21.0,103.0,88.0,16.0,759.0,22.0,43.0,249.0,60.0,14.0,18.0,17.0,227.0,476.0,16.0,1470.0
30,2024-09-04,44.0,50.0,111.0,36.0,46.0,46.0,26.0,6.0,40.0,5.0,24.0,65.0,26.0,26.0,42.0,17.0,16.0,40.0,91.0,35.0,23.0,52.0,19.0,21.0,119.0,30.0,17.0,26.0,38.0,13.0,81.0,119.0,27.0,12.0,77.0,16.0,17.0,23.0,77.0,16.0,57.0,17.0,10.0,117.0,91.0,20.0,663.0,12.0,33.0,222.0,39.0,15.0,20.0,30.0,200.0,495.0,13.0,1111.0
31,2024-09-05,26.0,46.0,74.0,14.0,47.0,27.0,19.0,6.0,46.0,15.0,26.0,52.0,21.0,21.0,38.0,27.0,36.0,20.0,84.0,32.0,24.0,37.0,17.0,18.0,149.0,37.0,22.0,22.0,34.0,6.0,73.0,125.0,16.0,10.0,65.0,10.0,13.0,28.0,77.0,16.0,56.0,10.0,20.0,82.0,101.0,11.0,661.0,11.0,24.0,233.0,57.0,11.0,12.0,22.0,285.0,489.0,22.0,1195.0
32,2024-09-06,37.0,34.0,64.0,35.0,34.0,44.0,20.0,6.0,31.0,15.0,16.0,70.0,23.0,12.0,39.0,15.0,35.0,20.0,89.0,13.0,31.0,28.0,11.0,4.0,110.0,26.0,22.0,17.0,30.0,19.0,84.0,84.0,12.0,6.0,52.0,14.0,20.0,20.0,72.0,12.0,65.0,23.0,7.0,60.0,91.0,7.0,525.0,19.0,36.0,200.0,32.0,22.0,20.0,17.0,241.0,373.0,14.0,1024.0
33,2024-09-07,8.0,5.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,9.0,5.0,4.0,4.0,1.0,28.0,6.0,3.0,7.0,28.0,6.0,8.0,6.0,10.0,2.0,47.0,0.0,2.0,20.0,5.0,1.0,16.0,17.0,0.0,0.0,20.0,2.0,5.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,27.0,2.0,11.0,17.0,11.0,5.0,3.0,11.0,37.0,59.0,0.0,233.0
34,2024-09-08,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,17.0,4.0,8.0,2.0,40.0,10.0,0.0,6.0,5.0,4.0,45.0,0.0,1.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,4.0,0.0,4.0,20.0,10.0,1.0,4.0,12.0,15.0,0.0,0.0,152.0
35,2024-09-09,5.0,71.0,77.0,30.0,58.0,44.0,22.0,8.0,48.0,10.0,25.0,79.0,16.0,28.0,55.0,28.0,42.0,28.0,75.0,15.0,28.0,48.0,25.0,19.0,151.0,29.0,22.0,21.0,26.0,21.0,62.0,97.0,14.0,0.0,91.0,23.0,17.0,32.0,100.0,10.0,63.0,13.0,9.0,105.0,56.0,18.0,630.0,18.0,42.0,234.0,51.0,16.0,14.0,24.0,257.0,428.0,14.0,1286.0
36,2024-09-10,36.0,44.0,82.0,44.0,41.0,34.0,19.0,0.0,34.0,9.0,7.0,47.0,14.0,19.0,52.0,22.0,21.0,34.0,75.0,19.0,17.0,51.0,24.0,11.0,145.0,30.0,18.0,20.0,21.0,6.0,85.0,133.0,21.0,20.0,73.0,15.0,15.0,29.0,98.0,21.0,43.0,19.0,21.0,82.0,91.0,19.0,621.0,20.0,55.0,233.0,51.0,11.0,25.0,24.0,275.0,401.0,19.0,1266.0
37,2024-09-11,42.0,41.0,92.0,46.0,59.0,52.0,31.0,6.0,33.0,9.0,14.0,62.0,23.0,17.0,50.0,19.0,19.0,29.0,93.0,25.0,7.0,43.0,16.0,14.0,102.0,16.0,15.0,17.0,29.0,23.0,80.0,126.0,15.0,7.0,81.0,8.0,12.0,20.0,79.0,21.0,80.0,17.0,16.0,92.0,86.0,20.0,617.0,18.0,36.0,213.0,36.0,15.0,12.0,32.0,228.0,428.0,18.0,1134.0
38,2024-09-12,23.0,54.0,68.0,19.0,40.0,46.0,14.0,3.0,48.0,15.0,20.0,58.0,23.0,12.0,42.0,21.0,41.0,18.0,107.0,24.0,21.0,43.0,16.0,14.0,164.0,26.0,13.0,22.0,41.0,8.0,47.0,92.0,17.0,15.0,77.0,10.0,14.0,11.0,99.0,29.0,73.0,9.0,10.0,68.0,126.0,16.0,574.0,13.0,36.0,247.0,46.0,14.0,13.0,31.0,283.0,425.0,16.0,1057.0
39,2024-09-13,25.0,37.0,59.0,15.0,39.0,20.0,17.0,8.0,31.0,10.0,15.0,63.0,26.0,14.0,36.0,10.0,33.0,20.0,81.0,24.0,12.0,24.0,18.0,3.0,93.0,8.0,20.0,15.0,19.0,10.0,55.0,97.0,17.0,19.0,40.0,11.0,10.0,21.0,51.0,12.0,37.0,12.0,6.0,57.0,57.0,12.0,482.0,15.0,27.0,161.0,35.0,16.0,18.0,12.0,246.0,293.0,8.0,866.0
